id,purch_date,customer_id,product_id,amount,paid
1,3/01/2019,823,27,12,568.92
2,3/01/2019,606,28,14,395.36
3,3/01/2019,955,9,17,510.17
4,3/01/2019,577,19,3,68.49
5,3/01/2019,429,8,18,759.42
6,3/01/2019,275,36,18,176.76
7,3/01/2019,456,21,10,904.8
8,3/01/2019,526,58,19,1387.95
9,3/01/2019,326,44,2,61.34
10,3/01/2019,13,21,5,316.7
11,3/01/2019,727,47,20,966.4
12,3/01/2019,589,30,20,459.2
13,3/01/2019,305,1,19,120.84
14,3/01/2019,789,22,5,301.3
15,3/01/2019,800,37,14,867.86
16,3/01/2019,282,32,6,553.98
17,3/01/2019,121,5,5,436.95
18,3/01/2019,40,60,1,41.22
19,3/01/2019,94,53,18,1319.76
20,3/01/2019,450,43,18,732.42
21,3/01/2019,897,45,2,91.54
22,3/01/2019,737,50,11,682.66
23,3/01/2019,890,32,14,1292.62
24,3/01/2019,917,37,12,743.88
25,3/01/2019,349,22,1,38.57
26,3/01/2019,465,18,16,666.88
27,3/01/2019,183,12,2,85.12
28,3/01/2019,594,22,1,34.35
29,3/01/2019,826,26,14,1096.34
30,3/01/2019,622,47,6,289.92
31,3/01/2019,680,50,6,383.88
32,3/01/2019,842,31,2,111.54
33,3/01/2019,376,7,12,129.48
34,3/01/2019,570,49,7,438.2
35,3/01/2019,707,55,6,51.3
36,3/01/2019,906,48,10,366.7
37,3/01/2019,66,13,13,258.7
38,3/01/2019,498,30,20,459.2
39,3/01/2019,680,9,19,570.19
40,3/01/2019,583,58,2,146.1
41,3/01/2019,315,1,17,108.12
42,3/01/2019,898,22,19,664.05
43,3/01/2019,208,24,11,343.86
44,3/01/2019,483,5,2,174.78
45,3/01/2019,545,9,11,290.51
46,4/01/2019,53,24,4,125.04
47,4/01/2019,872,14,2,125.24
48,4/01/2019,588,21,2,180.96
49,4/01/2019,683,45,10,457.7
50,4/01/2019,804,29,17,1006.91
51,4/01/2019,744,9,18,459.18
52,4/01/2019,862,53,9,413.28
53,4/01/2019,808,57,18,1235.34
54,4/01/2019,173,42,6,435.78
55,4/01/2019,196,23,9,146.43
56,4/01/2019,957,23,10,87.9
57,4/01/2019,86,3,3,196.2
58,4/01/2019,733,35,10,956.8
59,4/01/2019,577,42,20,1750.2
60,4/01/2019,913,11,1,12.24
61,4/01/2019,693,4,7,477.12
62,4/01/2019,204,2,15,1286.1
63,4/01/2019,257,49,5,313.0
64,4/01/2019,343,19,16,365.28
65,4/01/2019,815,31,13,725.01
66,4/01/2019,158,2,19,1629.06
67,4/01/2019,356,29,16,824.48
68,4/01/2019,135,50,12,767.76
69,4/01/2019,710,56,14,287.42
70,4/01/2019,531,1,10,63.6
71,4/01/2019,217,37,19,1177.81
72,4/01/2019,346,54,5,188.95
73,4/01/2019,932,14,20,1809.0
74,4/01/2019,92,41,1,65.35
75,4/01/2019,37,1,11,69.96
76,4/01/2019,865,13,9,118.17
77,4/01/2019,620,21,16,1447.68
78,4/01/2019,644,42,15,1312.65
79,4/01/2019,591,35,19,1817.92
80,4/01/2019,318,56,13,266.89
81,4/01/2019,330,13,20,219.0
82,4/01/2019,778,14,2,198.8
83,4/01/2019,281,36,15,141.0
84,4/01/2019,994,41,15,980.25
85,4/01/2019,705,32,7,646.31
86,4/01/2019,751,13,2,39.8
87,4/01/2019,651,25,1,73.7
88,4/01/2019,434,30,15,323.7
89,4/01/2019,549,20,11,957.55
90,4/01/2019,458,44,6,95.7
91,4/01/2019,666,11,5,107.35
92,4/01/2019,206,22,18,1062.9
93,4/01/2019,312,9,20,600.2
94,4/01/2019,186,21,19,1564.46
95,4/01/2019,121,13,4,53.32
96,4/01/2019,902,10,1,88.99
97,4/01/2019,727,17,8,270.24
98,4/01/2019,89,31,2,111.54
99,4/01/2019,955,35,20,1913.6
100,4/01/2019,296,27,11,521.51
101,4/01/2019,393,29,12,668.16
102,4/01/2019,890,57,18,1235.34
103,4/01/2019,335,42,3,262.53
104,4/01/2019,268,5,16,1398.24
105,4/01/2019,992,16,2,110.9
106,4/01/2019,780,38,2,43.96
107,4/01/2019,120,17,13,439.14
108,4/01/2019,154,1,5,21.0
109,4/01/2019,864,19,4,91.32
110,4/01/2019,151,29,12,710.76
111,4/01/2019,264,41,8,261.44
112,4/01/2019,430,29,8,473.84
113,4/01/2019,54,20,7,609.35
114,4/01/2019,247,18,4,225.32
115,4/01/2019,330,46,15,920.1
116,4/01/2019,509,10,9,800.91
117,4/01/2019,804,41,9,588.15
118,4/01/2019,449,1,18,114.48
119,4/01/2019,405,38,10,219.8
120,4/01/2019,567,39,9,337.05
121,4/01/2019,535,45,4,183.08
122,4/01/2019,721,42,10,875.1
123,4/01/2019,967,30,13,152.23
124,4/01/2019,811,1,2,12.72
125,4/01/2019,721,32,17,1569.61
126,4/01/2019,187,10,20,1779.8
127,4/01/2019,563,21,2,180.96
128,4/01/2019,246,52,5,493.7
129,4/01/2019,367,37,19,1177.81
130,5/01/2019,673,54,8,302.32
131,5/01/2019,720,6,18,1678.86
132,5/01/2019,982,12,19,808.64
133,5/01/2019,184,34,17,1692.18
134,5/01/2019,588,24,12,375.12
135,5/01/2019,22,9,6,180.06
136,5/01/2019,297,29,1,59.23
137,5/01/2019,997,49,3,187.8
138,5/01/2019,376,7,10,89.9
139,5/01/2019,766,22,14,843.64
140,5/01/2019,792,2,2,171.48
141,5/01/2019,630,9,13,370.63
142,5/01/2019,914,57,13,562.12
143,5/01/2019,448,2,15,1286.1
144,5/01/2019,741,45,5,228.85
145,5/01/2019,856,30,14,321.44
146,5/01/2019,263,17,11,338.14
147,5/01/2019,53,40,11,436.26
148,5/01/2019,602,18,5,166.15
149,5/01/2019,710,49,10,438.2
150,5/01/2019,15,48,2,57.2
151,5/01/2019,19,8,1,42.19
152,5/01/2019,414,52,19,1876.06
153,5/01/2019,113,54,7,264.53
154,5/01/2019,113,12,9,383.04
155,5/01/2019,747,24,6,187.56
156,5/01/2019,768,57,1,68.63
157,5/01/2019,201,17,4,135.12
158,5/01/2019,413,9,12,360.12
159,5/01/2019,394,52,15,1481.1
160,5/01/2019,809,43,20,813.8
161,5/01/2019,390,56,9,184.77
162,5/01/2019,551,39,4,149.8
163,5/01/2019,669,48,19,438.9
164,5/01/2019,624,4,8,545.28
165,5/01/2019,35,44,4,83.44
166,5/01/2019,274,14,13,1292.2
167,5/01/2019,351,56,5,102.65
168,5/01/2019,724,39,2,74.9
169,5/01/2019,754,54,10,377.9
170,5/01/2019,185,10,17,1089.19
171,5/01/2019,528,57,19,1303.97
172,5/01/2019,890,28,6,94.86
173,5/01/2019,855,38,8,175.84
174,5/01/2019,398,47,8,386.56
175,5/01/2019,585,31,17,948.09
176,5/01/2019,947,49,13,813.8
177,5/01/2019,336,14,15,1491.0
178,5/01/2019,584,42,16,1400.16
179,5/01/2019,303,48,9,330.03
180,5/01/2019,894,57,19,1251.72
181,5/01/2019,684,2,5,428.7
182,5/01/2019,510,29,3,177.69
183,5/01/2019,609,3,17,1111.8
184,5/01/2019,778,15,10,70.7
185,5/01/2019,915,11,1,21.47
186,5/01/2019,688,1,16,101.76
187,5/01/2019,514,20,10,870.5
188,5/01/2019,675,11,11,236.17
189,5/01/2019,451,38,4,83.52
190,5/01/2019,969,14,13,1292.2
191,5/01/2019,140,60,6,247.32
192,5/01/2019,224,54,11,415.69
193,5/01/2019,356,39,16,599.2
194,5/01/2019,752,57,20,1372.6
195,5/01/2019,768,11,6,128.82
196,5/01/2019,192,45,19,869.63
197,5/01/2019,229,21,14,1266.72
198,5/01/2019,582,10,4,355.96
199,5/01/2019,591,31,3,167.31
200,5/01/2019,852,8,2,84.38
201,6/01/2019,764,24,9,208.17
202,6/01/2019,268,21,9,480.42
203,6/01/2019,436,54,20,755.8
204,6/01/2019,223,23,1,8.95
205,6/01/2019,769,46,16,853.92
206,6/01/2019,979,9,16,480.16
207,6/01/2019,669,3,16,1046.4
208,6/01/2019,502,25,6,442.2
209,6/01/2019,756,36,14,193.62
210,6/01/2019,863,41,6,254.88
211,6/01/2019,871,53,19,1407.14
212,6/01/2019,918,34,20,1990.8
213,6/01/2019,190,37,4,247.96
214,6/01/2019,106,57,4,274.52
215,6/01/2019,724,53,6,444.36
216,6/01/2019,178,31,16,892.32
217,6/01/2019,267,2,2,171.48
218,6/01/2019,72,35,17,992.12
219,6/01/2019,616,42,16,1400.16
220,6/01/2019,475,16,12,665.4
221,6/01/2019,743,28,1,20.33
222,6/01/2019,521,28,17,388.79
223,6/01/2019,86,33,15,1233.3
224,6/01/2019,347,60,9,370.98
225,6/01/2019,443,2,18,972.36
226,6/01/2019,799,2,19,1629.06
227,6/01/2019,918,52,5,493.7
228,6/01/2019,194,4,12,817.92
229,6/01/2019,456,12,10,425.6
230,6/01/2019,222,53,13,962.78
231,6/01/2019,753,60,17,700.74
232,6/01/2019,229,14,19,1888.6
233,6/01/2019,938,52,1,81.95
234,6/01/2019,160,30,3,68.88
235,6/01/2019,151,19,8,182.64
236,6/01/2019,217,30,19,436.24
237,6/01/2019,748,29,6,355.38
238,6/01/2019,487,12,12,510.72
239,6/01/2019,627,53,17,1259.02
240,6/01/2019,511,57,13,892.19
241,6/01/2019,792,38,19,284.05
242,6/01/2019,733,23,15,222.15
243,6/01/2019,3,59,17,1262.76
244,6/01/2019,854,8,11,464.09
245,6/01/2019,808,32,9,830.97
246,6/01/2019,134,4,8,545.28
247,6/01/2019,896,34,15,1493.1
248,6/01/2019,801,23,9,111.33
249,6/01/2019,993,30,10,229.6
250,3/02/2019,128,11,7,150.29
251,3/02/2019,920,49,3,135.21
252,3/02/2019,880,22,2,107.26
253,3/02/2019,816,19,6,136.98
254,3/02/2019,253,36,12,165.96
255,3/02/2019,2,50,19,1215.62
256,3/02/2019,398,50,11,703.78
257,3/02/2019,108,21,18,1628.64
258,3/02/2019,800,19,19,425.03
259,3/02/2019,127,15,8,113.04
260,3/02/2019,480,59,6,445.68
261,3/02/2019,351,53,2,148.12
262,3/02/2019,131,3,19,1242.6
263,3/02/2019,570,57,8,280.0
264,3/02/2019,933,39,6,224.7
265,3/02/2019,287,9,10,300.1
266,3/02/2019,884,60,6,247.32
267,3/02/2019,585,18,19,1070.27
268,3/02/2019,430,4,15,787.2
269,3/02/2019,811,31,6,334.62
270,3/02/2019,345,24,18,562.68
271,3/02/2019,195,57,12,823.56
272,3/02/2019,517,13,3,37.02
273,3/02/2019,573,32,15,1384.95
